,V1,V2,V3,V4,V5,V6,V7,V8,V9
x,0.0045,0.005,0.0055,0.0095,0.01,0.0105,0.0145,0.015,0.0155
V non-inverting,0.6255358431698866,0.5927206091958309,0.553360244572749,0.5632389062359335,0.6037919652676932,0.6374326994738092,0.6459647149415787,0.6146688077541652,0.5767839625419827
EA Vout,0.12767921584943348,-0.03639695402084507,-0.23319877713625486,-0.183805468820332,0.018959826338466386,0.1871634973690463,0.22982357470789352,0.07334403877082607,-0.11608018729008637
VDD,1.3159610377583044,1.1999228244503815,1.0824165408303066,1.082172059058816,1.2002233033684382,1.3182975521521665,1.3195997147902137,1.2000668418175144,1.0815022521171627
ILoad,0.0010987354051413306,0.0010999661441297194,0.0010987487906296421,0.001015640444543762,0.0009999998118936522,0.0009843589965879565,0.0009012345392322715,0.0009000034064034926,0.000901243650291226
I feedback,4.408808367550762e-6,4.177889568751262e-6,3.900875862468349e-6,3.97040604331021e-6,4.255804408367803e-6,4.492517182691281e-6,4.552547579089132e-6,4.33234080407665e-6,4.065736717188439e-6
Id,-0.001103144213507475,-0.0011041440334463649,-0.0011026496664930255,-0.0010196108505969106,-0.0010042556165561329,-0.0009888515137788324,-0.0009057870868084595,-0.0009043357469689381,-0.0009053093870042283
Vout,0.8342576961862933,0.790492977413341,0.7379993499762545,0.7511742154080003,0.8052586285107214,0.8501241652920445,0.8615030457660856,0.8197646093789801,0.7692388313083033
Vref,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
